time	V(vdrain)	V(vdrain_totem)	V(vgate)	V(vgate_totem)	Id(Mosfet)	Id(Mosfet_totem)
5.352161859777899e-08	1.243118e+01	2.957969e-01	1.661173e+00	7.772813e+00	-1.959898e-03	5.320095e-02
5.378917108801138e-08	1.243473e+01	1.850285e-01	1.673876e+00	7.807858e+00	-1.976056e-03	5.370443e-02
5.401185511768682e-08	1.243768e+01	1.280421e-01	1.684434e+00	7.839338e+00	-1.989451e-03	5.396345e-02
5.423194445072620e-08	1.244058e+01	9.526654e-02	1.694857e+00	7.871720e+00	-2.002651e-03	5.410670e-02
5.442393130569872e-08	1.244311e+01	7.805703e-02	1.703940e+00	7.900437e+00	-2.014133e-03	5.416522e-02
5.463621027329628e-08	1.244590e+01	6.594401e-02	1.713973e+00	7.932458e+00	-2.026794e-03	5.419616e-02
5.485009296699559e-08	1.244869e+01	5.752951e-02	1.724070e+00	7.964839e+00	-2.039512e-03	5.422392e-02
5.512748572046772e-08	1.245231e+01	4.968777e-02	1.737150e+00	8.006906e+00	-2.055952e-03	5.424935e-02
5.543879810883296e-08	1.245635e+01	4.319947e-02	1.751806e+00	8.054117e+00	-2.074326e-03	5.425300e-02
5.587727471302315e-08	1.246202e+01	3.649349e-02	1.772412e+00	8.120478e+00	-2.100076e-03	5.423395e-02
5.636295355865121e-08	1.246825e+01	3.107270e-02	1.795183e+00	8.193606e+00	-2.128419e-03	5.420296e-02
5.701870977166779e-08	1.247661e+01	2.580141e-02	1.825844e+00	8.291480e+00	-2.166399e-03	5.416828e-02
5.770270446919555e-08	1.248524e+01	2.183869e-02	1.857718e+00	8.392135e+00	-2.205654e-03	5.414667e-02
5.862478091830978e-08	1.249676e+01	1.801390e-02	1.900518e+00	8.525135e+00	-2.258008e-03	5.412441e-02
5.956668952440979e-08	1.250838e+01	1.520261e-02	1.944035e+00	8.657136e+00	-2.310802e-03	5.420490e-02
6.086611328355402e-08	1.252416e+01	1.242931e-02	2.003745e+00	8.832452e+00	-2.382556e-03	5.441022e-02
6.214207143465277e-08	1.253939e+01	1.046440e-02	2.062000e+00	8.996111e+00	-2.451763e-03	5.449789e-02
6.393070909085160e-08	1.256029e+01	8.490150e-03	2.143058e+00	9.211563e+00	-2.546794e-03	5.450686e-02
6.565681719491957e-08	1.258000e+01	7.101925e-03	2.220618e+00	9.403996e+00	-2.636342e-03	5.441904e-02
6.786968540564067e-08	1.260456e+01	5.813471e-03	2.319082e+00	9.628484e+00	-2.748017e-03	5.430422e-02
7.018612547023478e-08	1.262951e+01	4.817959e-03	2.421046e+00	9.839235e+00	-2.861388e-03	5.433705e-02
7.281417628699755e-08	1.265682e+01	3.984855e-03	2.535312e+00	1.004941e+01	-2.985555e-03	5.437294e-02
7.578927167988379e-08	1.268652e+01	3.285208e-03	2.662872e+00	1.025418e+01	-3.120555e-03	5.436953e-02
7.938591266704296e-08	1.272083e+01	2.657966e-03	2.814706e+00	1.046277e+01	-3.276516e-03	5.436440e-02
8.298156968453663e-08	1.275328e+01	2.201594e-03	2.963664e+00	1.063209e+01	-3.423985e-03	5.443397e-02
8.838788630412400e-08	1.279901e+01	1.711798e-03	3.182884e+00	1.083177e+01	-3.631863e-03	5.453767e-02
9.349954006398829e-08	1.283909e+01	1.385403e-03	3.385084e+00	1.097488e+01	-3.814040e-03	5.453916e-02
9.990206265028451e-08	1.288453e+01	1.109127e-03	3.631249e+00	1.110476e+01	-4.020574e-03	5.454041e-02
1.063571269766606e-07	1.290894e+01	9.178841e-04	3.870977e+00	1.119978e+01	-4.131522e-03	5.454128e-02
1.117542865241261e-07	1.280281e+01	8.070762e-04	4.054737e+00	1.125763e+01	-3.641604e-03	5.454179e-02
1.162542515504673e-07	1.237470e+01	7.405143e-04	4.172256e+00	1.129397e+01	-1.689417e-03	5.454209e-02
1.206196419221368e-07	1.147927e+01	6.919752e-04	4.234646e+00	1.132159e+01	2.406451e-03	5.454231e-02
